lift_key,name,score_type,input_mode,equipment,primary_muscles,secondary_muscles,video_url,lift_info,needs_review,source_name
dumbbell_standing_triceps_extension,Dumbbell Standing Triceps Extension,multiplier,standard,dumbbell,triceps,,,,,Dumbbell Standing Triceps Extension
dumbbell_walking_lunge,Dumbbell Walking Lunge,multiplier,standard,dumbbell,legs,glutes,,,,Dumbbell Walking Lunge
eccentric_heel_drop,Eccentric Heel Drop,multiplier,standard,machine,calves,,,,,Eccentric Heel Drop
face_pull,Face Pull,multiplier,standard,cable machine,traps,shoulders,,,,Face Pull
farmers_walk,Farmers Walk,multiplier,standard,dumbbell,forearms,,,,,Farmers Walk
fat_bar_deadlift,Fat Bar Deadlift,multiplier,standard,barbell,glutes,,,,,Fat Bar Deadlift
feet_up_bench_press,Feet-Up Bench Press,multiplier,standard,barbell,chest,,,,,Feet-Up Bench Press
fire_hydrants,Fire Hydrants,multiplier,standard,floor,abductors,glutes,,,,Fire Hydrants
floor_back_extension,Floor Back Extension,multiplier,standard,floor,back,,,,,Floor Back Extension
floor_press,Floor Press,multiplier,standard,barbell,chest,triceps,,,,Floor Press
front_squat,Front Squat,multiplier,standard,barbell,legs,back,,,,Front Squat
goblet_squat,Goblet Squat,multiplier,standard,dumbbell,legs,back,,,,Goblet Squat
good_morning,Good Morning,multiplier,standard,barbell,back,hamstrings,,,,Good Morning
gorilla_row,Gorilla Row,multiplier,standard,barbell,shoulders,,,,,Gorilla Row
gripper,Gripper,multiplier,standard,machine,forearms,,,,,Gripper
hack_squat_machine,Hack Squat Machine,multiplier,standard,machine,quads,glutes,,,,Hack Squat Machine
hammer_curl,Hammer Curl,multiplier,standard,machine,biceps,,,,,Hammer Curl
handstand_push_up,Handstand Push-Up,bodyweight,standard,bodyweight,chest,,,,,Handstand Push-Up
hang_clean,Hang Clean,multiplier,standard,barbell,back,traps,,,,Hang Clean
hang_power_clean,Hang Power Clean,multiplier,standard,barbell,legs,traps,,,,Hang Power Clean
hang_power_snatch,Hang Power Snatch,multiplier,standard,barbell,legs,shoulders,,,,Hang Power Snatch
hang_snatch,Hang Snatch,multiplier,standard,barbell,back,shoulders,,,,Hang Snatch
hanging_knee_raise,Hanging Knee Raise,multiplier,standard,captains chair,abs,,,,,Hanging Knee Raise
hanging_leg_raise,Hanging Leg Raise,multiplier,standard,captains chair,abs,,,,,Hanging Leg Raise
hanging_sit_up,Hanging Sit-Up,bodyweight,standard,captains chair,abs,,,,,Hanging Sit-Up
hanging_windshield_wiper,Hanging Windshield Wiper,multiplier,standard,pull-up bar,abs,,,,,Hanging Windshield Wiper
heel_raise,Heel Raise,multiplier,standard,machine,calves,,,,,Heel Raise
high_to_low_wood_chop_with_band,High to Low Wood Chop with Band,multiplier,standard,band,abs,,,,,High to Low Wood Chop with Band
high_to_low_wood_chop_with_cable,High to Low Wood Chop with Cable,multiplier,standard,cable machine,abs,,,,,High to Low Wood Chop with Cable
hip_abduction_against_band,Hip Abduction Against Band,multiplier,standard,band,abductors,glutes,,,,Hip Abduction Against Band
hip_abduction_machine,Hip Abduction Machine,multiplier,standard,machine,abductors,glutes,,,,Hip Abduction Machine
hip_adduction_against_band,Hip Adduction Against Band,multiplier,standard,band,adductors,,,,,Hip Adduction Against Band
