lift_key,name,score_type,input_mode,equipment,primary_muscles,secondary_muscles,video_url,lift_info,needs_review,source_name
t_bar_row,T-Bar Row,multiplier,standard,barbell,back,,,,,T-Bar Row
tate_press,Tate Press,multiplier,standard,barbell,triceps,,,,,Tate Press
tibialis_raise,Tibialis Raise,multiplier,standard,machine,calves,,,,,Tibialis Raise
toes_to_bar,Toes-To-Bar,multiplier,standard,pull-up bar,abs,,,,,Toes-To-Bar
towel_pull_up,Towel Pull-Up,bodyweight,standard,pull-up bar,back,,,,,Towel Pull-Up
towel_row,Towel Row,multiplier,standard,barbell,back,,,,,Towel Row
trap_bar_deadlift_with_high_handles,Trap Bar Deadlift With High Handles,multiplier,standard,trap_bar,glutes,,,,,Trap Bar Deadlift With High Handles
trap_bar_deadlift_with_low_handles,Trap Bar Deadlift With Low Handles,multiplier,standard,trap_bar,glutes,,,,,Trap Bar Deadlift With Low Handles
tricep_bodyweight_extension,Tricep Bodyweight Extension,bodyweight,standard,bodyweight,triceps,,,,,Tricep Bodyweight Extension
tricep_pushdown_with_bar,Tricep Pushdown With Bar,multiplier,standard,machine,triceps,,,,,Tricep Pushdown With Bar
tricep_pushdown_with_rope,Tricep Pushdown With Rope,multiplier,standard,machine,triceps,,,,,Tricep Pushdown With Rope
wall_walk,Wall Walk,bodyweight,standard,bodyweight,shoulders,,,,,Wall Walk
weighted_plank,Weighted Plank,bodyweight,standard,bodyweight,abs,,,,,Weighted Plank
wrist_roller,Wrist Roller,multiplier,standard,machine,forearms,,,,,Wrist Roller
zercher_squat,Zercher Squat,multiplier,standard,barbell,legs,back,,,,Zercher Squat
zombie_squat,Zombie Squat,multiplier,standard,barbell,quads,,,,,Zombie Squat
abs_ball_crunches,Abs Ball Crunches,multiplier,standard,machine,abs,,,,,Abs Ball Crunches
back_extension_hamstrings_focused,Back Extension (Hamstrings Focused),multiplier,standard,machine,back,,,,,Back Extension (Hamstrings Focused)
cable_lateral_raise_split_stance,Cable Lateral Raise (Split Stance),multiplier,standard,cable machine,shoulders,,,,,Cable Lateral Raise (Split Stance)
calf_raises_landmine,Calf Raises Landmine,multiplier,standard,landmine,calves,,,,,Calf Raises Landmine
calf_raises_smith,Calf Raises Smith,multiplier,standard,smith_machine,calves,,,,,Calf Raises Smith
delt_forward_raises,Delt Forward Raises,multiplier,standard,machine,shoulders,,,,,Delt Forward Raises
delt_front_raise_cable,Delt Front Raise Cable,multiplier,standard,cable machine,shoulders,,,,,Delt Front Raise Cable
delt_lateral_raises,Delt Lateral Raises,multiplier,standard,machine,shoulders,,,,,Delt Lateral Raises
delt_rear_cross_cable_fly,Delt Rear Cross Cable Fly,multiplier,standard,cable machine,shoulders,,,,,Delt Rear Cross Cable Fly
dumbbell_kickback,Dumbbell Kickback,multiplier,standard,dumbbell,triceps,,,,,Dumbbell Kickback
good_mornings_smith,Good Mornings Smith,multiplier,standard,smith_machine,back,hamstrings,,,,Good Mornings Smith
hip_abduction_unspecified,Hip Abduction (Unspecified),multiplier,standard,machine,abductors,,,,,Hip Abduction (Unspecified)
hip_adduction_unspecified,Hip Adduction (Unspecified),multiplier,standard,machine,adductors,,,,,Hip Adduction (Unspecified)
lat_pulldown_unspecified_grip,Lat Pulldown (Unspecified Grip),multiplier,standard,cable machine,lats,back,,,,Lat Pulldown (Unspecified Grip)
leg_press_single_leg,Leg Press Single Leg,multiplier,standard,barbell,quads,,,,,Leg Press Single Leg
lunges_forward,Lunges Forward,multiplier,standard,machine,quads,,,,,Lunges Forward
lunges_reverse,Lunges Reverse,multiplier,standard,machine,quads,,,,,Lunges Reverse
pec_fly_dumbbell,Pec Flys DB,multiplier,standard,dumbbell,chest,,,,,Pec Flys DB
press_dumbbell_overhead_alternating,Press DB Overhead Alternating,multiplier,standard,dumbbell,shoulders,triceps,,,,Press DB Overhead Alternating
press_high_low_cable_fly,Press High Low Cable Fly,multiplier,standard,cable machine,chest,,,,,Press High Low Cable Fly
press_incline,Press Incline,multiplier,standard,barbell,chest,triceps,,,,Press Incline
press_incline_dumbbell,Press Incline DB,multiplier,standard,dumbbell,chest,triceps,,,,Press Incline DB
press_low_high_cable_fly,Press Low High Cable Fly,multiplier,standard,cable machine,chest,,,,,Press Low High Cable Fly
press_overhead,Press Overhead,multiplier,standard,barbell,shoulders,,,,,Press Overhead
press_push_ups,Press Push Ups,multiplier,standard,barbell,chest,triceps,,,,Press Push Ups
row_dumbbell_incline,Row DB Incline,multiplier,standard,dumbbell,back,,,,,Row DB Incline
row_inverted,Row Inverted,multiplier,standard,barbell,back,,,,,Row Inverted
row_reverse_grip_barbell,Row Reverse Grip Barbell,multiplier,standard,barbell,back,,,,,Row Reverse Grip Barbell
row_seated_cable,Row Seated Cable,multiplier,standard,cable machine,back,,,,,Row Seated Cable
row_seated_cable_single_arm,Row Seated Cable Single Arm,multiplier,standard,cable machine,back,,,,,Row Seated Cable Single Arm
row_seated_cable_wide_grip,Row Seated Cable Wide Grip,multiplier,standard,cable machine,back,shoulders,,,,Row Seated Cable Wide Grip
row_single_arm_dumbbell,Row Single Arm DB,multiplier,standard,dumbbell,back,shoulders,,,,Row Single Arm DB
row_upright_wide_grip,Row Upright Wide Grip,multiplier,standard,barbell,traps,shoulders,,,,Row Upright Wide Grip
shrugs_barbell,Shrugs Barbell,multiplier,standard,barbell,traps,shoulders,,,,Shrugs Barbell
shrugs_dumbbell,Shrugs DB,multiplier,standard,dumbbell,traps,shoulders,,,,Shrugs DB
shrugs_barbell_2,Shrugs BB,multiplier,standard,barbell,traps,shoulders,,,,Shrugs BB
tricep_ext_french_press,Tricep Ext French Press,multiplier,standard,barbell,triceps,,,,,Tricep Ext French Press
tricep_ext_overhead_cable,Tricep Ext OH Cable,multiplier,standard,cable machine,triceps,,,,,Tricep Ext OH Cable
tricep_ext_overhead_dumbbell,Tricep Ext OH DB,multiplier,standard,dumbbell,triceps,,,,,Tricep Ext OH DB
tricep_ext_reverse_grip,Tricep Ext Reverse Grip,multiplier,standard,machine,triceps,,,,,Tricep Ext Reverse Grip
tricep_kickbacks_dumbbell,Tricep Kickbacks DB,multiplier,standard,dumbbell,triceps,,,,,Tricep Kickbacks DB
tricep_push_downs_rope,Tricep Push Downs Rope,multiplier,standard,machine,triceps,,,,,Tricep Push Downs Rope
tricep_push_downs_straight_bar,Tricep Push Downs Straight Bar,multiplier,standard,machine,triceps,,,,,Tricep Push Downs Straight Bar
tricep_skull_crushers,Tricep Skull Crushers,multiplier,standard,machine,triceps,,,,,Tricep Skull Crushers
